Datetime,Close
2026-06-08 09:30:00-04:00,313.57000732421875
2026-06-08 09:35:00-04:00,311.8699951171875
2026-06-08 09:40:00-04:00,311.489990234375
2026-06-08 09:45:00-04:00,311.6499938964844
2026-06-08 09:50:00-04:00,312.489990234375
2026-06-08 09:55:00-04:00,310.9200134277344
2026-06-08 10:00:00-04:00,311.6400146484375
2026-06-08 10:05:00-04:00,311.5400085449219
2026-06-08 10:10:00-04:00,310.92999267578125
2026-06-08 10:15:00-04:00,310.32000732421875
2026-06-08 10:20:00-04:00,311.4849853515625
2026-06-08 10:25:00-04:00,311.9750061035156
2026-06-08 10:30:00-04:00,312.3699951171875
2026-06-08 10:35:00-04:00,312.489990234375
2026-06-08 10:40:00-04:00,312.8699951171875
2026-06-08 10:45:00-04:00,314.0799865722656
2026-06-08 10:50:00-04:00,314.54998779296875
2026-06-08 10:55:00-04:00,315.2699890136719
2026-06-08 11:00:00-04:00,314.6499938964844
2026-06-08 11:05:00-04:00,314.8599853515625
2026-06-08 11:10:00-04:00,314.2850036621094
2026-06-08 11:15:00-04:00,314.30999755859375
2026-06-08 11:20:00-04:00,314.40509033203125
2026-06-08 11:25:00-04:00,313.92999267578125
2026-06-08 11:30:00-04:00,313.5799865722656
2026-06-08 11:35:00-04:00,313.9700012207031
2026-06-08 11:40:00-04:00,314.1799011230469
2026-06-08 11:45:00-04:00,314.0425109863281
2026-06-08 11:50:00-04:00,314.0849914550781
2026-06-08 11:55:00-04:00,313.6099853515625
2026-06-08 12:00:00-04:00,313.7430114746094
2026-06-08 12:05:00-04:00,313.94000244140625
2026-06-08 12:10:00-04:00,314.0450134277344
2026-06-08 12:15:00-04:00,314.625
2026-06-08 12:20:00-04:00,314.5299987792969
2026-06-08 12:25:00-04:00,313.6650085449219
2026-06-08 12:30:00-04:00,313.1700134277344
2026-06-08 12:35:00-04:00,313.1449890136719
2026-06-08 12:40:00-04:00,313.2850036621094
2026-06-08 12:45:00-04:00,313.81500244140625
2026-06-08 12:50:00-04:00,313.6300048828125
2026-06-08 12:55:00-04:00,313.5
2026-06-08 13:00:00-04:00,313.30999755859375
2026-06-08 13:05:00-04:00,313.62200927734375
2026-06-08 13:10:00-04:00,313.4599914550781
2026-06-08 13:15:00-04:00,312.7650146484375
2026-06-08 13:20:00-04:00,312.5199890136719
2026-06-08 13:25:00-04:00,314.57000732421875
2026-06-08 13:30:00-04:00,316.9949951171875
2026-06-08 13:35:00-04:00,312.7250061035156
2026-06-08 13:40:00-04:00,308.8299865722656
2026-06-08 13:45:00-04:00,309.0150146484375
2026-06-08 13:50:00-04:00,310.1300048828125
2026-06-08 13:55:00-04:00,308.4549865722656
2026-06-08 14:00:00-04:00,305.8800048828125
2026-06-08 14:05:00-04:00,304.3800048828125
2026-06-08 14:10:00-04:00,304.7200012207031
2026-06-08 14:15:00-04:00,305.17498779296875
2026-06-08 14:20:00-04:00,305.5299987792969
2026-06-08 14:25:00-04:00,304.8599853515625
2026-06-08 14:30:00-04:00,303.875
2026-06-08 14:35:00-04:00,303.5199890136719
2026-06-08 14:40:00-04:00,302.8299865722656
2026-06-08 14:45:00-04:00,303.8550109863281
2026-06-08 14:50:00-04:00,303.7449951171875
2026-06-08 14:55:00-04:00,303.80999755859375
2026-06-08 15:00:00-04:00,304.614990234375
2026-06-08 15:05:00-04:00,303.92999267578125
2026-06-08 15:10:00-04:00,304.25
2026-06-08 15:15:00-04:00,304.0199890136719
2026-06-08 15:20:00-04:00,302.3611145019531
2026-06-08 15:25:00-04:00,302.7049865722656
2026-06-08 15:30:00-04:00,302.0299987792969
2026-06-08 15:35:00-04:00,302.6600036621094
2026-06-08 15:40:00-04:00,302.8299865722656
2026-06-08 15:45:00-04:00,302.010009765625
2026-06-08 15:50:00-04:00,301.3399963378906
2026-06-08 15:55:00-04:00,301.57000732421875
2026-06-09 09:30:00-04:00,297.9750061035156
2026-06-09 09:35:00-04:00,298.7200012207031
2026-06-09 09:40:00-04:00,297.2699890136719
2026-06-09 09:45:00-04:00,298.1278991699219
2026-06-09 09:50:00-04:00,296.8900146484375
2026-06-09 09:55:00-04:00,296.1499938964844
2026-06-09 10:00:00-04:00,294.7149963378906
2026-06-09 10:05:00-04:00,294.69500732421875
2026-06-09 10:10:00-04:00,294.0350036621094
2026-06-09 10:15:00-04:00,292.7950134277344
2026-06-09 10:20:00-04:00,293.3700866699219
2026-06-09 10:25:00-04:00,292.5299987792969
2026-06-09 10:30:00-04:00,292.3399963378906
2026-06-09 10:35:00-04:00,293.3599853515625
2026-06-09 10:40:00-04:00,293.2900085449219
2026-06-09 10:45:00-04:00,292.6099853515625
2026-06-09 10:50:00-04:00,292.610107421875
2026-06-09 10:55:00-04:00,293.1199951171875
2026-06-09 11:00:00-04:00,292.94500732421875
